PARTICIPANT_ID,AGE,GENDER,REGION,EDUCATION_LEVEL,PRIOR_EMPLOYMENT_MONTHS,TRAINING_PROGRAM,TRAINING_HOURS,CERTIFICATION_EARNED,EMPLOYMENT_OUTCOME,SALARY_POST_TRAINING,INDUSTRY_PLACED,TIME_TO_EMPLOYMENT_DAYS,RETENTION_6_MONTH,SKILL_MATCH_SCORE,FEATURE_IMPORTANCE_RANK,IS_TRAINING_SUITABLE,UPDATE_FREQUENCY,LAST_UPDATED
PRT-000181,49,M,Ottawa,Master,59,Data Analytics,581,No,Employed PT,43068,Government,99,No,0.83,9,Yes,Monthly,2026-07-22
PRT-000182,33,M,Eastern,College,23,Data Analytics,524,No,Self-Employed,63575,Technology,169,Yes,0.58,11,Yes,Weekly,2026-07-05
PRT-000183,54,X,Northern,High School,216,Advanced Manufacturing,110,Yes,Employed FT,34657,Government,18,No,0.41,13,No,Monthly,2026-06-20
PRT-000184,47,F,Northern,Master,124,Data Analytics,84,No,Employed FT,69656,Finance,95,No,0.59,6,Yes,Weekly,2026-01-02
PRT-000185,51,X,Northern,College,148,IT Security,65,No,Unemployed,115687,Manufacturing,43,No,0.91,16,Yes,Monthly,2026-04-18
PRT-000186,49,F,Northern,High School,32,IT Security,391,No,Self-Employed,91246,Construction,125,No,0.71,15,Yes,Weekly,2026-04-01
PRT-000187,54,M,Southwestern,Bachelor,136,Skilled Trades,391,Yes,Unemployed,107507,Government,157,Yes,0.81,17,No,Monthly,2026-03-09
PRT-000188,47,X,Ottawa,Bachelor,92,Data Analytics,277,Yes,Unemployed,73908,Retail,19,No,0.35,11,Yes,Monthly,2026-07-18
PRT-000189,31,F,Waterloo,Bachelor,220,Digital Skills,574,Yes,Employed FT,99749,Manufacturing,7,No,0.37,17,Yes,Weekly,2026-01-05
PRT-000190,36,F,Hamilton,High School,211,Skilled Trades,630,No,Self-Employed,90569,Retail,108,Yes,0.43,10,Yes,Monthly,2026-06-29
PRT-000191,53,M,Waterloo,Master,139,Healthcare Aide,481,No,Employed FT,106232,Technology,59,Yes,0.71,13,Yes,Weekly,2026-04-12
PRT-000192,52,F,GTA,College,210,Skilled Trades,274,Yes,Self-Employed,62348,Finance,80,Yes,0.7,11,Yes,Monthly,2026-06-29
PRT-000193,25,F,Niagara,College,177,Advanced Manufacturing,352,Yes,Unemployed,102727,Government,79,Yes,0.3,11,Yes,Weekly,2026-05-21
PRT-000194,47,X,Niagara,Bachelor,233,Healthcare Aide,768,No,Unemployed,110725,Retail,14,Yes,0.97,2,Yes,Monthly,2026-06-13
PRT-000195,40,F,Northern,High School,178,Healthcare Aide,641,Yes,Further Training,61881,Construction,166,No,0.36,11,Yes,Weekly,2026-03-11
PRT-000196,38,M,Durham,Less than HS,124,Green Energy,122,No,Further Training,108236,Manufacturing,136,Yes,0.34,5,Yes,Weekly,2026-07-19
PRT-000197,26,M,Niagara,Bachelor,67,Data Analytics,647,No,Unemployed,96766,Manufacturing,85,Yes,0.51,11,No,Monthly,2026-03-28
PRT-000198,44,M,GTA,Less than HS,81,Healthcare Aide,596,Yes,Self-Employed,71688,Manufacturing,13,Yes,0.63,1,No,Monthly,2026-06-09
PRT-000199,54,X,Niagara,Master,91,Green Energy,704,Yes,Unemployed,77042,Technology,55,Yes,0.48,3,No,Monthly,2026-02-20
PRT-000200,52,X,Northern,Master,10,Advanced Manufacturing,216,Yes,Self-Employed,45646,Manufacturing,139,No,0.68,18,Yes,Monthly,2026-04-22
PRT-000201,31,F,Hamilton,High School,210,IT Security,285,No,Employed PT,42314,Manufacturing,46,Yes,0.99,8,Yes,Weekly,2026-01-03
PRT-000202,46,F,GTA,Less than HS,60,Advanced Manufacturing,125,Yes,Employed FT,62224,Construction,43,No,0.95,9,No,Weekly,2026-02-17
PRT-000203,62,X,Eastern,Master,205,Skilled Trades,301,No,Employed PT,47659,Healthcare,112,No,0.73,2,Yes,Monthly,2026-03-26
PRT-000204,41,X,Eastern,Bachelor,161,Advanced Manufacturing,734,No,Unemployed,117250,Retail,118,Yes,0.3,14,Yes,Weekly,2026-04-22
PRT-000205,51,M,Durham,Less than HS,226,IT Security,334,No,Self-Employed,103311,Technology,8,Yes,0.59,15,Yes,Weekly,2026-02-07
PRT-000206,55,F,Eastern,Bachelor,53,Green Energy,538,No,Employed PT,114314,Finance,111,No,0.92,4,Yes,Weekly,2026-04-05
PRT-000207,20,F,Niagara,Master,182,Healthcare Aide,302,No,Further Training,62619,Government,72,No,0.78,10,Yes,Weekly,2026-02-21
PRT-000208,63,F,Hamilton,Less than HS,234,Green Energy,66,Yes,Unemployed,112540,Healthcare,104,No,0.82,13,Yes,Monthly,2026-05-09
PRT-000209,33,X,Waterloo,Less than HS,200,Digital Skills,302,No,Employed FT,84034,Government,143,Yes,0.72,7,Yes,Weekly,2026-07-27
PRT-000210,64,M,Hamilton,College,174,Skilled Trades,385,Yes,Unemployed,66750,Retail,42,No,0.58,13,No,Monthly,2026-02-03
PRT-000211,59,M,Waterloo,Bachelor,127,Healthcare Aide,162,Yes,Self-Employed,54557,Construction,167,No,0.45,11,No,Weekly,2026-05-29
PRT-000212,56,X,Ottawa,Less than HS,229,IT Security,664,Yes,Unemployed,91379,Finance,35,Yes,0.67,1,Yes,Monthly,2026-04-02
PRT-000213,23,F,Northern,High School,92,Skilled Trades,743,No,Employed FT,110846,Construction,86,No,0.87,12,Yes,Weekly,2026-05-15
PRT-000214,36,X,Durham,Bachelor,227,IT Security,742,Yes,Unemployed,100345,Government,78,No,0.49,18,Yes,Monthly,2026-04-02
PRT-000215,28,F,GTA,Bachelor,6,Data Analytics,371,No,Unemployed,53163,Retail,145,Yes,0.8,6,Yes,Monthly,2026-03-22
PRT-000216,26,X,Hamilton,High School,106,Digital Skills,116,No,Further Training,108458,Technology,93,No,0.69,18,Yes,Weekly,2026-07-18
PRT-000217,50,F,Northern,Bachelor,8,Healthcare Aide,397,No,Unemployed,46811,Retail,112,Yes,0.83,1,Yes,Weekly,2026-01-12
PRT-000218,36,F,Central,Master,62,Advanced Manufacturing,711,Yes,Self-Employed,113522,Retail,108,No,0.81,16,Yes,Monthly,2026-08-01
PRT-000219,48,X,Durham,Bachelor,202,Data Analytics,89,Yes,Unemployed,39809,Manufacturing,111,No,0.8,10,Yes,Weekly,2026-06-16
PRT-000220,49,F,Hamilton,Master,52,Green Energy,476,Yes,Self-Employed,114836,Manufacturing,137,Yes,0.83,7,Yes,Weekly,2026-03-13
PRT-000221,26,F,Northern,College,168,Advanced Manufacturing,272,No,Employed FT,100267,Technology,89,No,0.48,11,Yes,Weekly,2026-03-20
PRT-000222,56,F,Niagara,College,130,Healthcare Aide,82,Yes,Self-Employed,39878,Healthcare,72,Yes,0.34,14,Yes,Weekly,2026-04-16
PRT-000223,45,F,Niagara,Master,184,Data Analytics,80,No,Self-Employed,43993,Technology,117,Yes,0.66,11,No,Monthly,2026-07-30
PRT-000224,47,F,Waterloo,College,161,Data Analytics,91,No,Employed PT,50251,Construction,39,No,0.34,7,Yes,Monthly,2026-02-05
PRT-000225,32,F,Northern,High School,167,Digital Skills,429,No,Self-Employed,59005,Government,98,No,0.56,1,Yes,Weekly,2026-02-01
PRT-000226,61,X,GTA,Less than HS,99,Green Energy,480,No,Unemployed,78742,Manufacturing,177,No,0.48,16,Yes,Weekly,2026-07-25
PRT-000227,64,M,Central,Less than HS,169,Digital Skills,419,No,Employed PT,47412,Construction,80,Yes,0.96,8,Yes,Monthly,2026-05-30
PRT-000228,35,F,Central,Less than HS,193,Skilled Trades,122,Yes,Unemployed,67599,Construction,131,Yes,0.4,14,Yes,Monthly,2026-01-20
PRT-000229,60,M,Durham,Bachelor,96,Data Analytics,159,Yes,Employed FT,47162,Government,172,Yes,0.7,15,No,Weekly,2026-02-09
PRT-000230,31,X,GTA,College,189,Advanced Manufacturing,624,No,Employed FT,115001,Retail,152,No,0.73,16,No,Monthly,2026-04-28
PRT-000231,61,F,GTA,Master,106,Digital Skills,271,Yes,Further Training,96273,Finance,25,Yes,0.41,14,No,Monthly,2026-06-15
PRT-000232,40,F,Southwestern,Master,160,Advanced Manufacturing,498,Yes,Employed PT,54729,Government,145,No,0.78,8,No,Weekly,2026-06-20
PRT-000233,27,M,Durham,College,82,Data Analytics,595,No,Employed PT,104134,Construction,87,No,0.92,17,No,Monthly,2026-05-14
PRT-000234,43,F,Hamilton,Bachelor,129,Green Energy,679,No,Self-Employed,104368,Manufacturing,92,No,0.8,14,Yes,Monthly,2026-06-27
PRT-000235,51,M,Central,Less than HS,209,Data Analytics,631,No,Employed FT,57901,Healthcare,84,Yes,0.96,18,Yes,Weekly,2026-04-02
PRT-000236,20,M,Central,College,70,Advanced Manufacturing,444,Yes,Self-Employed,45851,Manufacturing,79,No,0.33,15,No,Monthly,2026-02-19
PRT-000237,20,M,Central,Less than HS,49,Healthcare Aide,588,No,Further Training,46174,Retail,71,Yes,0.34,3,Yes,Monthly,2026-05-23
PRT-000238,31,M,Northern,Master,180,IT Security,753,Yes,Employed FT,96853,Healthcare,115,Yes,0.49,14,Yes,Weekly,2026-07-17
PRT-000239,44,F,Durham,Master,134,Data Analytics,88,No,Employed PT,87648,Healthcare,103,No,0.92,3,Yes,Weekly,2026-01-09
PRT-000240,19,M,Central,Master,68,IT Security,569,No,Further Training,90051,Finance,156,No,0.43,13,Yes,Monthly,2026-05-21
PRT-000241,39,X,Hamilton,Master,217,Green Energy,118,Yes,Self-Employed,68318,Manufacturing,65,Yes,0.83,7,Yes,Monthly,2026-05-13
PRT-000242,60,X,Southwestern,Bachelor,205,Data Analytics,444,Yes,Further Training,104683,Government,166,Yes,0.61,10,Yes,Monthly,2026-06-24
PRT-000243,36,F,Durham,High School,62,Data Analytics,285,No,Unemployed,118400,Healthcare,135,No,0.31,1,Yes,Monthly,2026-06-27
PRT-000244,29,F,Hamilton,College,18,Healthcare Aide,155,Yes,Employed FT,92169,Retail,51,Yes,0.69,10,Yes,Monthly,2026-02-10
PRT-000245,23,X,Waterloo,High School,208,Skilled Trades,379,No,Employed FT,94076,Technology,97,Yes,0.85,7,Yes,Weekly,2026-04-03
PRT-000246,27,M,Ottawa,Less than HS,76,IT Security,60,No,Unemployed,112671,Construction,59,Yes,0.31,13,No,Weekly,2026-06-28
PRT-000247,20,F,GTA,Less than HS,93,Skilled Trades,712,No,Employed FT,115692,Manufacturing,119,No,0.69,15,Yes,Weekly,2026-02-28
PRT-000248,35,F,Hamilton,Bachelor,176,Digital Skills,354,No,Unemployed,96148,Technology,164,Yes,0.76,18,Yes,Weekly,2026-06-18
PRT-000249,61,X,Hamilton,High School,4,Healthcare Aide,522,No,Self-Employed,90075,Construction,102,Yes,0.75,7,Yes,Monthly,2026-04-02
PRT-000250,63,F,Eastern,Bachelor,55,Skilled Trades,503,No,Further Training,65915,Manufacturing,37,Yes,0.33,2,Yes,Weekly,2026-01-15
PRT-000251,56,F,Southwestern,Bachelor,118,Advanced Manufacturing,666,No,Employed FT,36239,Healthcare,142,Yes,0.45,9,Yes,Monthly,2026-07-17
PRT-000252,57,M,Niagara,College,40,Data Analytics,369,No,Further Training,54653,Manufacturing,8,Yes,0.43,17,Yes,Monthly,2026-06-28
PRT-000253,31,M,Niagara,Less than HS,66,Digital Skills,411,Yes,Employed FT,49149,Finance,83,Yes,0.47,1,Yes,Monthly,2026-06-24
PRT-000254,57,M,Ottawa,Master,23,Skilled Trades,435,Yes,Unemployed,38958,Finance,175,Yes,0.57,16,Yes,Weekly,2026-01-23
PRT-000255,43,F,Hamilton,High School,132,IT Security,205,Yes,Self-Employed,111932,Healthcare,14,No,0.55,5,Yes,Weekly,2026-08-01
PRT-000256,39,X,Durham,College,13,Healthcare Aide,546,Yes,Further Training,62147,Technology,125,No,0.32,14,Yes,Weekly,2026-01-31
PRT-000257,24,X,GTA,High School,9,Healthcare Aide,570,Yes,Employed PT,58615,Retail,168,Yes,0.45,13,Yes,Weekly,2026-03-23
PRT-000258,44,X,Northern,College,85,Advanced Manufacturing,163,No,Employed PT,108157,Retail,53,Yes,0.45,15,No,Weekly,2026-04-14
PRT-000259,34,M,Hamilton,College,19,Skilled Trades,518,Yes,Employed FT,34972,Finance,33,Yes,0.73,8,Yes,Monthly,2026-03-18
PRT-000260,62,M,GTA,High School,176,Advanced Manufacturing,69,No,Employed PT,109634,Technology,60,No,0.78,17,Yes,Monthly,2026-01-06
PRT-000261,36,M,Niagara,College,203,IT Security,567,No,Self-Employed,61625,Finance,110,Yes,0.33,18,Yes,Weekly,2026-07-31
PRT-000262,60,F,Eastern,High School,177,Data Analytics,266,Yes,Employed FT,37958,Finance,51,No,0.98,16,Yes,Monthly,2026-07-10
PRT-000263,64,F,Northern,College,149,Green Energy,256,Yes,Employed PT,56316,Manufacturing,55,No,0.71,5,Yes,Weekly,2026-07-30
PRT-000264,35,X,Waterloo,High School,103,Green Energy,685,Yes,Unemployed,113039,Government,98,No,0.71,12,No,Weekly,2026-03-30
PRT-000265,29,X,Waterloo,College,191,Skilled Trades,779,No,Further Training,111664,Healthcare,76,Yes,0.67,5,Yes,Weekly,2026-01-01
PRT-000266,59,M,Ottawa,College,155,IT Security,491,Yes,Unemployed,100313,Healthcare,17,Yes,0.63,6,Yes,Weekly,2026-06-26
PRT-000267,64,F,Eastern,Less than HS,36,Healthcare Aide,632,Yes,Unemployed,49980,Retail,34,Yes,0.66,14,Yes,Monthly,2026-04-16
PRT-000268,33,M,GTA,Bachelor,135,Skilled Trades,519,Yes,Self-Employed,110251,Healthcare,180,Yes,0.38,6,Yes,Weekly,2026-05-05
PRT-000269,24,F,GTA,Bachelor,75,Skilled Trades,172,Yes,Employed PT,31142,Finance,149,Yes,0.8,6,No,Weekly,2026-07-08
PRT-000270,34,F,Eastern,Master,83,Skilled Trades,291,Yes,Further Training,87574,Manufacturing,33,Yes,0.84,14,Yes,Monthly,2026-06-18
PRT-000271,52,F,Niagara,High School,62,Green Energy,378,Yes,Employed FT,47755,Construction,57,Yes,0.8,4,Yes,Monthly,2026-06-06
PRT-000272,49,X,Southwestern,Master,119,Advanced Manufacturing,85,No,Employed PT,56861,Retail,178,No,0.98,11,Yes,Monthly,2026-04-26
PRT-000273,50,M,Hamilton,Master,63,Digital Skills,620,No,Employed PT,80545,Healthcare,152,No,0.68,3,No,Monthly,2026-01-01
PRT-000274,58,X,GTA,Master,222,Advanced Manufacturing,283,No,Employed FT,39570,Retail,143,Yes,0.84,5,Yes,Weekly,2026-02-28
PRT-000275,35,X,Eastern,Master,29,Healthcare Aide,677,Yes,Self-Employed,56858,Finance,120,Yes,0.5,1,Yes,Weekly,2026-04-07
PRT-000276,49,X,Durham,Less than HS,73,IT Security,98,No,Employed FT,35806,Healthcare,39,No,0.35,7,No,Weekly,2026-01-18
PRT-000277,62,F,Southwestern,Bachelor,203,Skilled Trades,479,Yes,Unemployed,81830,Construction,54,No,0.68,17,Yes,Weekly,2026-06-15
PRT-000278,21,X,GTA,Bachelor,103,IT Security,729,No,Employed PT,82298,Construction,72,Yes,0.58,7,Yes,Weekly,2026-01-24
PRT-000279,61,X,Durham,College,88,Digital Skills,202,Yes,Employed FT,67022,Manufacturing,152,No,0.43,7,Yes,Monthly,2026-04-01
PRT-000280,46,F,Southwestern,High School,219,Skilled Trades,593,Yes,Self-Employed,51833,Retail,173,No,0.67,7,Yes,Weekly,2026-03-05
PRT-000281,63,M,Central,Master,33,Advanced Manufacturing,662,No,Unemployed,58743,Healthcare,130,No,0.46,7,No,Monthly,2026-05-30
PRT-000282,60,M,Eastern,Master,174,Green Energy,428,Yes,Self-Employed,107531,Construction,77,Yes,0.66,13,Yes,Weekly,2026-03-07
PRT-000283,31,M,Hamilton,Master,12,IT Security,181,Yes,Unemployed,61389,Retail,77,No,0.8,10,No,Weekly,2026-07-22
PRT-000284,57,F,Niagara,Bachelor,55,Green Energy,216,No,Self-Employed,56442,Construction,37,Yes,0.56,8,Yes,Weekly,2026-01-19
PRT-000285,43,F,GTA,Master,212,Healthcare Aide,62,No,Self-Employed,97137,Government,31,No,0.72,8,Yes,Weekly,2026-06-11
PRT-000286,36,F,Niagara,College,31,IT Security,417,Yes,Employed FT,67791,Healthcare,129,No,0.55,7,Yes,Weekly,2026-01-15
PRT-000287,60,M,Ottawa,High School,71,Skilled Trades,517,No,Self-Employed,92330,Technology,109,No,0.63,18,No,Weekly,2026-02-19
PRT-000288,32,X,Central,Master,130,Data Analytics,717,No,Further Training,64433,Healthcare,11,No,0.32,3,Yes,Monthly,2026-01-03
PRT-000289,29,F,Eastern,Less than HS,185,Healthcare Aide,459,No,Further Training,77849,Construction,159,Yes,0.88,3,Yes,Monthly,2026-03-29
PRT-000290,41,X,Eastern,Master,188,Green Energy,625,No,Further Training,42175,Finance,157,Yes,0.36,7,Yes,Monthly,2026-06-11
PRT-000291,39,M,GTA,Less than HS,111,Digital Skills,184,Yes,Self-Employed,44907,Technology,131,No,0.98,18,No,Weekly,2026-03-06
PRT-000292,40,X,Durham,Master,176,Green Energy,744,Yes,Employed PT,99207,Finance,57,Yes,0.84,11,Yes,Weekly,2026-03-07
PRT-000293,53,M,Southwestern,Master,136,Healthcare Aide,621,Yes,Employed PT,34148,Construction,15,Yes,0.8,14,Yes,Weekly,2026-06-14
PRT-000294,52,F,GTA,College,222,Advanced Manufacturing,302,No,Unemployed,72790,Retail,99,No,0.69,13,Yes,Weekly,2026-04-28
PRT-000295,50,X,GTA,Bachelor,68,Green Energy,127,No,Self-Employed,114687,Government,113,No,0.59,14,Yes,Weekly,2026-06-20
PRT-000296,23,M,Niagara,Master,50,Advanced Manufacturing,796,Yes,Employed FT,50642,Construction,71,No,0.58,7,Yes,Monthly,2026-03-26
PRT-000297,46,M,Ottawa,College,214,Data Analytics,199,No,Self-Employed,65783,Retail,39,Yes,0.75,3,Yes,Monthly,2026-04-05
PRT-000298,39,F,Waterloo,Bachelor,165,Data Analytics,795,No,Further Training,98252,Retail,111,No,0.48,5,Yes,Monthly,2026-06-06
PRT-000299,37,X,Hamilton,Less than HS,101,Green Energy,194,Yes,Self-Employed,84312,Retail,40,Yes,0.38,12,Yes,Monthly,2026-04-24
PRT-000300,64,X,Southwestern,Master,234,Data Analytics,437,Yes,Employed PT,76042,Construction,9,Yes,0.7,1,Yes,Monthly,2026-05-16
PRT-000301,39,X,Northern,Master,153,IT Security,123,No,Employed PT,54366,Manufacturing,173,No,0.75,5,Yes,Weekly,2026-07-26
PRT-000302,24,F,Eastern,Bachelor,86,Skilled Trades,125,No,Further Training,116867,Technology,142,Yes,0.34,16,No,Monthly,2026-04-28
PRT-000303,50,M,Southwestern,High School,109,IT Security,53,Yes,Further Training,75240,Construction,115,Yes,0.79,18,Yes,Monthly,2026-03-05
PRT-000304,47,F,Niagara,Bachelor,199,Skilled Trades,415,No,Employed PT,109920,Construction,35,No,0.6,14,No,Weekly,2026-03-03
PRT-000305,62,F,Ottawa,College,6,IT Security,483,No,Further Training,31564,Healthcare,178,Yes,0.44,18,No,Weekly,2026-06-16
PRT-000306,62,F,Southwestern,College,200,Data Analytics,707,Yes,Further Training,77644,Technology,122,No,0.63,4,No,Weekly,2026-03-03
PRT-000307,30,F,Southwestern,Bachelor,83,Skilled Trades,396,No,Employed PT,97350,Finance,102,No,0.46,9,Yes,Weekly,2026-01-14
PRT-000308,48,M,Hamilton,College,102,Healthcare Aide,226,Yes,Further Training,48366,Healthcare,95,No,0.79,5,Yes,Monthly,2026-02-03
PRT-000309,51,F,Hamilton,Master,168,IT Security,385,Yes,Employed FT,38974,Healthcare,91,Yes,0.78,2,No,Weekly,2026-04-07
PRT-000310,29,M,Niagara,Bachelor,227,Green Energy,153,Yes,Employed PT,37275,Government,37,Yes,0.81,7,Yes,Weekly,2026-04-14
PRT-000311,63,X,GTA,Bachelor,194,IT Security,639,Yes,Unemployed,96287,Construction,27,No,0.55,14,Yes,Monthly,2026-04-10
PRT-000312,20,X,Hamilton,High School,216,Green Energy,65,No,Unemployed,73249,Healthcare,139,No,0.54,15,Yes,Weekly,2026-05-18
PRT-000313,45,X,Ottawa,High School,154,Advanced Manufacturing,660,Yes,Employed FT,102915,Government,137,Yes,0.81,17,No,Monthly,2026-01-05
PRT-000314,27,M,Eastern,College,23,Skilled Trades,339,Yes,Employed FT,34401,Manufacturing,60,Yes,0.36,18,No,Weekly,2026-07-07
PRT-000315,60,M,Northern,College,101,IT Security,366,No,Self-Employed,69005,Manufacturing,33,Yes,0.64,11,Yes,Monthly,2026-04-12
PRT-000316,50,M,Central,Less than HS,98,IT Security,391,No,Employed FT,91723,Technology,44,No,0.98,6,Yes,Weekly,2026-04-03
PRT-000317,63,X,GTA,College,91,Data Analytics,531,No,Unemployed,73313,Technology,37,No,0.43,2,No,Weekly,2026-02-03
PRT-000318,46,X,Southwestern,Bachelor,64,Healthcare Aide,777,Yes,Unemployed,41770,Manufacturing,71,Yes,0.8,4,No,Weekly,2026-01-30
PRT-000319,57,M,Durham,College,223,Advanced Manufacturing,773,No,Employed FT,62839,Manufacturing,165,Yes,0.47,2,Yes,Weekly,2026-01-27
PRT-000320,25,M,Durham,High School,13,Skilled Trades,212,Yes,Self-Employed,86359,Government,132,No,0.9,17,Yes,Monthly,2026-02-01
PRT-000321,55,M,Ottawa,Bachelor,142,Digital Skills,456,No,Self-Employed,75470,Retail,112,Yes,0.39,10,Yes,Monthly,2026-04-22
PRT-000322,24,M,Southwestern,High School,67,Healthcare Aide,140,No,Further Training,103452,Healthcare,65,Yes,0.61,3,No,Monthly,2026-03-28
PRT-000323,27,F,Ottawa,Less than HS,219,Healthcare Aide,81,Yes,Employed FT,85364,Retail,51,Yes,0.83,14,Yes,Monthly,2026-03-14
PRT-000324,58,M,Hamilton,Less than HS,142,Healthcare Aide,298,No,Self-Employed,59052,Retail,72,Yes,0.69,6,Yes,Weekly,2026-05-01
PRT-000325,64,X,Eastern,Less than HS,20,Advanced Manufacturing,426,No,Unemployed,102192,Technology,32,No,0.54,17,Yes,Weekly,2026-05-03
PRT-000326,47,M,Niagara,High School,197,Skilled Trades,277,Yes,Employed PT,44277,Healthcare,68,Yes,0.33,18,Yes,Weekly,2026-01-19
PRT-000327,60,M,Durham,Master,124,Skilled Trades,348,No,Employed FT,34596,Government,112,No,0.96,12,Yes,Monthly,2026-07-25
PRT-000328,18,M,GTA,Master,56,Green Energy,98,No,Self-Employed,61614,Manufacturing,70,Yes,0.92,5,Yes,Weekly,2026-01-15
PRT-000329,63,M,Durham,College,155,IT Security,403,Yes,Further Training,93802,Retail,112,Yes,0.43,10,No,Weekly,2026-03-14
PRT-000330,53,F,Southwestern,College,72,Digital Skills,222,No,Self-Employed,33505,Manufacturing,166,Yes,0.32,6,Yes,Weekly,2026-01-18
PRT-000331,21,M,Waterloo,Bachelor,16,Digital Skills,713,No,Self-Employed,79098,Government,111,Yes,0.91,7,Yes,Monthly,2026-01-24
PRT-000332,53,M,Ottawa,College,137,Data Analytics,181,Yes,Employed FT,105565,Finance,131,No,0.67,6,Yes,Weekly,2026-06-27
PRT-000333,19,X,Eastern,Less than HS,121,IT Security,539,No,Employed PT,41494,Retail,25,No,0.56,11,Yes,Weekly,2026-07-30
PRT-000334,52,X,Durham,High School,230,Advanced Manufacturing,655,Yes,Further Training,111984,Construction,66,No,0.65,7,Yes,Monthly,2026-02-11
PRT-000335,52,X,Hamilton,College,135,Green Energy,416,Yes,Employed FT,104186,Healthcare,53,No,0.35,5,Yes,Weekly,2026-02-18
PRT-000336,64,X,Southwestern,Less than HS,235,Digital Skills,194,No,Unemployed,116196,Construction,102,No,0.81,3,No,Weekly,2026-05-07
PRT-000337,59,M,Northern,Bachelor,23,Skilled Trades,139,Yes,Further Training,81790,Manufacturing,119,No,0.88,5,Yes,Weekly,2026-08-01
PRT-000338,36,X,Southwestern,Less than HS,33,IT Security,235,Yes,Further Training,100325,Government,94,Yes,0.92,18,Yes,Weekly,2026-05-16
PRT-000339,58,F,Central,Bachelor,175,Digital Skills,637,No,Self-Employed,85526,Government,94,No,0.73,6,No,Weekly,2026-01-23
PRT-000340,50,F,Northern,Less than HS,199,Skilled Trades,246,Yes,Further Training,33166,Retail,123,No,0.48,14,No,Weekly,2026-04-07
PRT-000341,64,X,Central,Less than HS,190,Data Analytics,400,No,Self-Employed,99996,Technology,68,No,0.76,9,Yes,Monthly,2026-04-19
PRT-000342,31,X,Central,Bachelor,41,Data Analytics,166,No,Employed FT,118831,Government,93,No,0.47,18,Yes,Monthly,2026-01-30
PRT-000343,41,X,Central,Master,205,Data Analytics,288,No,Further Training,93851,Retail,79,No,0.46,3,Yes,Monthly,2026-06-13
PRT-000344,53,X,Central,Bachelor,69,IT Security,573,Yes,Employed FT,32113,Healthcare,113,Yes,0.37,7,No,Monthly,2026-01-07
PRT-000345,47,M,Central,Master,58,Data Analytics,397,No,Further Training,114765,Construction,154,Yes,0.35,2,Yes,Weekly,2026-06-28
PRT-000346,24,F,Central,Bachelor,159,Skilled Trades,572,No,Self-Employed,105772,Retail,60,No,0.38,14,No,Weekly,2026-04-07
PRT-000347,41,M,Southwestern,Bachelor,49,Healthcare Aide,573,Yes,Employed PT,47099,Manufacturing,77,No,0.67,16,Yes,Weekly,2026-02-08
PRT-000348,27,X,Ottawa,Master,209,Skilled Trades,346,Yes,Employed FT,60697,Healthcare,68,No,0.52,18,No,Weekly,2026-07-14
PRT-000349,28,M,GTA,Bachelor,222,Data Analytics,172,Yes,Employed PT,43028,Retail,25,Yes,0.61,17,Yes,Weekly,2026-03-15
PRT-000350,60,X,Hamilton,High School,23,Data Analytics,606,Yes,Employed FT,113555,Healthcare,36,No,0.99,16,Yes,Monthly,2026-02-25
PRT-000351,26,X,Hamilton,High School,80,Advanced Manufacturing,469,Yes,Unemployed,40931,Finance,161,No,0.89,13,No,Weekly,2026-07-17
PRT-000352,61,X,Northern,Master,76,Skilled Trades,761,Yes,Unemployed,59930,Retail,90,Yes,0.59,8,Yes,Weekly,2026-02-16
PRT-000353,42,F,Central,Bachelor,152,Healthcare Aide,609,Yes,Employed PT,78027,Technology,88,Yes,0.76,17,Yes,Monthly,2026-02-11
PRT-000354,39,F,Central,High School,76,Data Analytics,742,No,Unemployed,33748,Healthcare,142,No,0.34,14,Yes,Weekly,2026-03-05
PRT-000355,55,M,Hamilton,Bachelor,136,Data Analytics,253,Yes,Employed FT,58416,Construction,49,No,0.36,11,No,Monthly,2026-02-08
PRT-000356,30,X,GTA,Less than HS,107,Data Analytics,426,Yes,Employed FT,60245,Manufacturing,91,Yes,0.6,5,Yes,Monthly,2026-06-15
PRT-000357,32,M,Southwestern,College,171,IT Security,718,No,Employed PT,66136,Technology,175,No,0.98,7,Yes,Monthly,2026-05-23
PRT-000358,46,M,Durham,Bachelor,218,Data Analytics,292,Yes,Employed FT,95761,Finance,143,Yes,0.9,14,Yes,Monthly,2026-06-06
PRT-000359,53,X,Niagara,Bachelor,167,Advanced Manufacturing,199,Yes,Further Training,116506,Finance,130,Yes,0.71,9,Yes,Weekly,2026-01-27
PRT-000360,61,M,Ottawa,Less than HS,147,Green Energy,518,Yes,Unemployed,42613,Construction,51,No,0.95,8,No,Monthly,2026-02-16
PRT-000361,59,M,Durham,Bachelor,222,Digital Skills,497,No,Self-Employed,90144,Healthcare,94,Yes,0.86,6,Yes,Monthly,2026-02-04
PRT-000362,31,M,Durham,College,14,Healthcare Aide,165,Yes,Unemployed,32224,Retail,128,Yes,0.97,6,Yes,Weekly,2026-07-03
PRT-000363,38,F,Central,College,222,Data Analytics,302,No,Self-Employed,82282,Manufacturing,177,No,0.84,11,No,Weekly,2026-01-08
PRT-000364,60,X,GTA,College,212,IT Security,781,Yes,Employed FT,77560,Finance,134,No,0.41,10,No,Monthly,2026-05-04
