CLIENT_ID,RETENTION_RATE,SERVICE_PROGRAM,SATISFACTION_SCORE,CHURN_RISK_INDICATOR,REGION,QUARTER,ENGAGEMENT_FREQUENCY,PROGRAM_TYPE,SERVICE_CATEGORY,CASE_LOAD,RENEWAL_COUNT,DROPOUT_COUNT,AVG_INTERACTION_DAYS,FIRST_CONTACT_DATE,LAST_CONTACT_DATE,REFERRAL_SOURCE,CASE_COMPLEXITY,NET_PROMOTER_SCORE,RESPONSE_TIME_HOURS,DIGITAL_ENGAGEMENT_PCT,IN_PERSON_VISITS,PHONE_INTERACTIONS,EMAIL_INTERACTIONS,BENEFITS_AMOUNT,COST_PER_CLIENT,FISCAL_YEAR,DATA_QUALITY_SCORE,LAST_UPDATED
CLT-000258,0.754,Employment Services,7.7,Medium,Eastern,2025-10-01,10,Community,Disability,27,3,2,20.2,2023-10-12,2026-05-19,Community Agency,Standard,36,37.9,67.5,3,4,25,10315.3,29937.3,FY2023-24,92.2,2026-02-13
CLT-000259,0.438,Home Care,5.3,High,Niagara,2024-07-01,8,Community,Housing,81,5,2,69.3,2024-06-28,2026-02-14,Other Ministry,Standard,65,43.6,44.4,15,16,17,4110.67,23277.1,FY2023-24,77.5,2026-05-08
CLT-000260,0.536,Child Care Subsidy,3.2,High,GTA,2024-07-01,16,Employment,Home Care,107,4,2,18.0,2023-06-27,2025-04-09,Community Agency,Complex,76,37.7,51.8,14,6,18,16721.28,25022.27,FY2024-25,86.3,2026-07-27
CLT-000261,0.907,Ontario Works,9.5,Low,Niagara,2024-07-01,13,Housing,Family,106,3,3,8.1,2020-12-28,2026-07-25,Court,Complex,1,35.6,21.4,12,15,48,3179.86,34076.2,FY2025-26,86.6,2026-05-19
CLT-000262,0.738,Community Living,6.8,Low,Durham,2024-04-01,13,Youth,Housing,106,4,2,70.2,2021-08-05,2025-11-25,Self-Referral,Simple,55,3.7,81.1,11,25,47,14807.19,38494.51,FY2025-26,80.2,2026-01-25
CLT-000263,0.653,Youth Services,5.8,Low,Eastern,2025-01-01,8,Youth,Child Care,26,2,0,33.7,2020-02-10,2026-07-06,Other Ministry,Simple,38,47.5,45.9,16,28,26,7032.16,35101.97,FY2025-26,70.7,2026-03-23
CLT-000264,0.623,Family Support,5.2,Low,Hamilton,2024-07-01,23,Disability,Family,137,4,2,19.2,2021-09-05,2026-01-08,Family Doctor,Simple,43,45.9,92.8,2,26,34,5744.96,13992.6,FY2024-25,99.9,2026-04-13
CLT-000265,0.875,ODSP,7.9,High,Ottawa,2025-07-01,9,Child Care,Housing,119,1,2,72.6,2023-08-27,2025-11-06,Court,Standard,64,39.1,27.0,12,8,39,13126.55,33906.45,FY2025-26,75.4,2026-01-05
CLT-000266,0.77,Child Care Subsidy,6.9,Low,Hamilton,2025-04-01,21,Community,Employment,143,1,2,44.3,2021-05-07,2025-06-04,Court,Standard,32,23.3,80.6,2,20,13,21226.19,14079.8,FY2024-25,89.4,2026-03-07
CLT-000267,0.805,Home Care,5.8,Low,Northern,2025-01-01,1,Disability,Youth,128,3,3,40.9,2020-03-16,2025-07-26,Hospital,Standard,-3,2.6,77.1,8,21,35,4811.64,42773.53,FY2025-26,84.6,2026-01-06
CLT-000268,0.433,ODSP,5.1,Medium,Ottawa,2025-10-01,12,Child Care,Community,45,1,0,53.5,2022-10-21,2025-05-04,Court,Standard,-9,17.5,20.4,10,10,37,18562.29,40486.24,FY2025-26,77.1,2026-04-19
CLT-000269,0.529,ODSP,4.2,Medium,Hamilton,2025-10-01,9,Employment,Housing,146,2,0,31.9,2022-05-17,2026-05-02,School,Standard,80,67.5,40.9,11,26,19,1016.32,48373.45,FY2025-26,71.0,2026-07-09
CLT-000270,0.791,Ontario Works,7.7,High,Eastern,2025-04-01,18,Community,Youth,102,5,0,50.5,2021-04-29,2026-03-30,Family Doctor,Simple,30,66.8,88.0,9,2,48,6268.78,11308.94,FY2023-24,97.5,2026-06-11
CLT-000271,0.587,Family Support,8.4,Medium,Ottawa,2026-01-01,16,Community,Family,118,0,1,64.4,2022-11-02,2025-03-09,Other Ministry,Standard,57,52.6,56.6,10,14,44,1170.1,3552.84,FY2025-26,75.5,2026-04-24
CLT-000272,0.867,Child Care Subsidy,3.0,Low,Southwestern,2025-07-01,19,Child Care,Child Care,50,1,1,77.0,2023-11-05,2026-02-25,Other Ministry,Standard,41,63.0,21.3,5,21,37,20755.83,40176.9,FY2023-24,72.5,2026-04-05
CLT-000273,0.507,Family Support,9.4,High,Eastern,2024-04-01,1,Disability,Child Care,128,1,2,64.6,2020-12-11,2025-02-20,Family Doctor,Complex,34,43.4,22.7,11,5,36,3375.09,36210.59,FY2024-25,93.2,2026-04-27
CLT-000274,0.888,Community Living,3.8,High,Eastern,2025-01-01,9,Youth,Housing,107,1,3,77.8,2023-05-13,2025-08-09,Court,Complex,66,14.0,25.3,4,0,18,24415.14,12538.8,FY2024-25,97.2,2026-04-05
CLT-000275,0.744,Community Living,3.6,Medium,Northern,2025-07-01,23,Community,Disability,108,5,3,67.6,2021-06-08,2025-03-16,Community Agency,Complex,-13,4.2,89.1,15,29,22,24920.12,47026.78,FY2025-26,91.3,2026-07-27
CLT-000276,0.427,Employment Services,6.4,Medium,Southwestern,2025-10-01,22,Family,Home Care,20,4,1,27.1,2022-10-28,2026-05-20,Other Ministry,Standard,-4,6.9,70.4,13,4,16,3362.63,3163.95,FY2023-24,85.0,2026-03-13
CLT-000277,0.841,Family Support,4.9,Medium,Waterloo,2025-04-01,17,Family,Community,52,2,3,69.9,2020-11-05,2026-07-24,Online Portal,Simple,4,11.1,29.5,1,15,16,4507.1,23889.51,FY2023-24,99.9,2026-05-07
CLT-000278,0.424,Youth Services,9.7,High,Hamilton,2026-01-01,16,Child Care,Home Care,41,2,0,22.3,2021-08-04,2025-07-04,Hospital,Complex,45,59.3,57.9,18,6,37,24951.11,1202.16,FY2025-26,75.4,2026-01-20
CLT-000279,0.545,Community Living,7.6,Medium,GTA,2025-04-01,22,Child Care,Community,105,4,0,76.1,2020-11-10,2025-01-30,Community Agency,Standard,70,47.7,48.6,8,19,42,642.23,48518.76,FY2025-26,88.7,2026-04-26
CLT-000280,0.592,Child Care Subsidy,4.4,Low,Southwestern,2025-07-01,2,Child Care,Community,33,3,2,20.1,2024-04-27,2026-02-13,Community Agency,Simple,6,12.2,76.3,9,20,48,23883.6,8552.6,FY2024-25,84.7,2026-04-21
CLT-000281,0.834,Employment Services,9.1,High,Northern,2025-07-01,22,Child Care,Family,141,1,3,42.9,2022-03-05,2026-05-03,Court,Complex,56,30.7,74.3,11,19,11,11135.6,21874.84,FY2023-24,85.4,2026-04-29
CLT-000282,0.799,Child Care Subsidy,9.3,High,Durham,2024-07-01,10,Housing,Community,30,3,2,17.6,2020-09-18,2025-11-04,School,Complex,34,21.6,14.1,2,29,2,13078.66,26021.93,FY2024-25,72.8,2026-06-19
CLT-000283,0.825,Employment Services,5.4,High,Ottawa,2024-04-01,4,Housing,Home Care,56,3,0,12.1,2023-12-13,2025-11-01,Other Ministry,Complex,72,33.0,67.0,19,25,16,8862.69,45987.48,FY2023-24,76.3,2026-01-21
CLT-000284,0.841,Employment Services,8.9,Low,Niagara,2024-04-01,1,Community,Child Care,13,1,3,44.1,2022-04-09,2026-05-14,Court,Complex,58,26.3,67.3,12,25,19,2647.06,7620.58,FY2023-24,73.4,2026-01-05
CLT-000285,0.811,Home Care,8.8,Low,Hamilton,2024-10-01,21,Disability,Community,147,1,0,30.6,2022-08-07,2025-06-01,Online Portal,Standard,-18,8.8,86.7,14,30,31,12051.49,43130.03,FY2025-26,77.3,2026-03-17
CLT-000286,0.736,Family Support,3.3,Low,Ottawa,2025-10-01,14,Housing,Youth,19,3,3,46.3,2023-04-25,2026-05-15,School,Complex,-13,38.3,45.9,10,17,4,7062.3,32766.71,FY2024-25,73.5,2026-06-09
CLT-000287,0.954,Youth Services,6.0,Medium,GTA,2024-10-01,10,Disability,Housing,98,3,1,48.1,2023-04-18,2025-12-14,Online Portal,Simple,17,52.2,43.2,13,26,43,16486.25,18652.52,FY2024-25,94.0,2026-02-11
CLT-000288,0.767,Employment Services,7.7,Low,Hamilton,2024-10-01,6,Disability,Home Care,135,0,3,85.2,2022-10-08,2025-11-07,School,Simple,51,3.9,11.5,8,11,43,4385.83,41569.49,FY2025-26,71.0,2026-01-17
CLT-000289,0.599,ODSP,7.2,Low,Durham,2025-01-01,16,Youth,Family,100,0,2,81.2,2023-11-14,2026-06-12,Community Agency,Complex,-14,66.8,47.2,14,30,48,3217.81,6188.7,FY2025-26,88.3,2026-01-27
CLT-000290,0.886,Ontario Works,6.4,Low,Ottawa,2025-01-01,12,Home Care,Youth,123,4,3,67.3,2020-07-22,2025-06-07,Other Ministry,Standard,-3,9.3,27.2,13,24,49,661.4,41905.86,FY2024-25,80.2,2026-05-10
CLT-000291,0.501,Employment Services,5.5,Medium,Central,2025-01-01,5,Community,Disability,45,3,3,83.0,2022-07-28,2026-06-13,Other Ministry,Simple,36,10.9,10.8,16,30,4,2577.07,16425.42,FY2023-24,83.0,2026-04-11
CLT-000292,0.848,Child Care Subsidy,9.1,Low,Durham,2025-04-01,14,Community,Youth,90,2,0,75.3,2022-12-16,2025-05-31,Family Doctor,Standard,62,15.2,56.3,19,20,28,17588.04,44496.07,FY2025-26,82.1,2026-02-20
CLT-000293,0.92,ODSP,3.3,Medium,Niagara,2024-10-01,17,Youth,Disability,33,4,2,49.3,2024-03-30,2025-06-13,Self-Referral,Simple,49,42.9,30.5,9,23,27,24680.39,6411.65,FY2023-24,95.2,2026-03-08
CLT-000294,0.77,Youth Services,3.8,High,Ottawa,2026-01-01,10,Employment,Housing,96,1,1,34.8,2021-08-05,2025-05-24,Family Doctor,Complex,74,18.2,37.9,18,6,49,9351.05,5801.4,FY2025-26,82.8,2026-04-16
CLT-000295,0.448,Ontario Works,5.9,Low,Hamilton,2025-01-01,15,Child Care,Family,144,3,3,79.1,2023-04-11,2026-05-26,Family Doctor,Standard,68,67.1,51.6,13,26,10,4036.48,7229.07,FY2025-26,83.7,2026-06-30
CLT-000296,0.703,ODSP,7.7,Medium,Hamilton,2024-04-01,24,Home Care,Family,40,4,3,14.4,2022-01-26,2025-10-24,Self-Referral,Complex,-1,8.9,35.9,11,9,18,12405.18,39768.98,FY2023-24,93.5,2026-04-18
CLT-000297,0.429,Employment Services,9.0,Low,Northern,2026-01-01,1,Child Care,Family,27,0,3,45.9,2021-09-26,2026-04-09,Other Ministry,Standard,40,60.2,80.9,4,24,8,12866.71,23585.87,FY2024-25,90.0,2026-02-08
CLT-000298,0.911,Youth Services,3.6,High,Waterloo,2025-10-01,13,Disability,Community,96,4,0,86.4,2022-06-26,2025-10-12,Community Agency,Simple,70,2.3,63.6,9,17,41,3532.65,28408.29,FY2023-24,98.7,2026-05-19
CLT-000299,0.74,Ontario Works,9.5,High,Eastern,2026-01-01,17,Employment,Child Care,146,1,0,28.4,2021-02-25,2025-09-09,Online Portal,Simple,48,43.9,44.2,1,15,1,8828.94,9844.89,FY2023-24,95.8,2026-03-23
CLT-000300,0.625,ODSP,3.8,Low,Durham,2024-10-01,10,Home Care,Home Care,75,0,1,31.1,2022-04-14,2025-06-23,Self-Referral,Complex,21,13.5,70.6,9,12,6,8341.02,21228.32,FY2024-25,77.7,2026-07-31
CLT-000301,0.931,Ontario Works,4.4,High,Waterloo,2025-01-01,16,Community,Child Care,78,0,2,44.5,2022-04-13,2025-03-09,Online Portal,Simple,32,45.8,87.7,0,8,35,24105.13,34079.77,FY2023-24,92.9,2026-06-16
CLT-000302,0.863,Employment Services,6.9,Medium,Ottawa,2025-01-01,5,Family,Home Care,72,4,3,86.7,2023-02-10,2026-04-08,Self-Referral,Simple,39,69.2,62.8,20,5,0,1974.29,46168.72,FY2024-25,87.9,2026-06-24
CLT-000303,0.624,Youth Services,8.7,Low,Waterloo,2025-04-01,2,Home Care,Child Care,86,0,3,64.4,2020-10-13,2026-07-24,Court,Standard,6,44.1,91.4,10,28,43,23662.51,32123.32,FY2025-26,83.6,2026-03-04
CLT-000304,0.791,Youth Services,5.3,Medium,Waterloo,2025-07-01,1,Home Care,Employment,131,0,0,62.2,2022-04-26,2026-07-24,Online Portal,Standard,48,6.3,84.5,20,2,34,1258.21,41772.11,FY2025-26,83.4,2026-02-01
CLT-000305,0.608,Family Support,8.6,Medium,Niagara,2024-10-01,23,Employment,Child Care,128,2,1,42.8,2021-03-29,2025-01-21,Court,Complex,70,26.1,17.6,19,20,19,20306.16,11836.24,FY2024-25,99.0,2026-01-10
CLT-000306,0.566,Home Care,3.0,High,Niagara,2024-07-01,9,Housing,Home Care,59,5,1,10.6,2020-09-19,2025-03-08,Hospital,Standard,52,61.7,84.9,8,6,43,1066.38,48520.73,FY2025-26,86.0,2026-03-06
CLT-000307,0.802,Community Living,3.0,Medium,GTA,2025-07-01,14,Community,Youth,41,5,3,47.1,2022-11-25,2025-02-14,School,Simple,15,66.2,55.3,10,0,25,5267.9,5008.64,FY2025-26,94.2,2026-07-08
CLT-000308,0.533,Family Support,9.5,Low,Eastern,2024-10-01,11,Youth,Child Care,34,0,3,41.7,2020-02-19,2025-12-09,Court,Simple,-7,34.4,91.5,1,26,21,13232.04,12600.44,FY2023-24,93.3,2026-06-08
CLT-000309,0.659,ODSP,7.3,High,Ottawa,2024-07-01,2,Employment,Community,90,5,0,71.5,2020-05-06,2026-03-29,Self-Referral,Standard,58,45.3,15.6,1,17,3,7725.46,19691.32,FY2023-24,88.5,2026-04-16
CLT-000310,0.538,Ontario Works,6.1,Medium,Niagara,2024-07-01,11,Employment,Housing,142,2,1,14.2,2020-01-26,2025-03-11,School,Complex,-4,46.1,31.8,13,15,46,15710.85,10110.25,FY2023-24,93.9,2026-01-16
CLT-000311,0.475,Family Support,6.5,High,Central,2025-04-01,19,Home Care,Home Care,130,2,2,29.7,2020-01-17,2026-06-15,Hospital,Simple,10,36.8,81.0,1,13,22,5287.47,10818.22,FY2023-24,93.6,2026-03-29
CLT-000312,0.512,Community Living,7.7,Medium,Waterloo,2025-07-01,19,Family,Youth,117,2,1,13.9,2024-06-04,2025-02-13,Online Portal,Simple,-20,46.2,68.9,14,19,13,6355.97,36994.72,FY2024-25,94.2,2026-04-07
CLT-000313,0.521,Child Care Subsidy,8.6,Low,Central,2024-04-01,3,Family,Employment,39,1,2,42.4,2023-07-16,2026-01-04,Self-Referral,Simple,5,14.6,24.8,8,23,11,8825.53,28170.74,FY2023-24,75.9,2026-02-15
CLT-000314,0.897,ODSP,3.1,High,Northern,2025-10-01,21,Child Care,Family,63,2,3,25.4,2024-07-15,2026-01-17,Hospital,Complex,59,63.5,84.7,2,3,9,22126.72,7408.94,FY2023-24,75.8,2026-04-07
CLT-000315,0.81,Youth Services,7.1,High,Eastern,2024-04-01,20,Disability,Youth,48,2,1,9.5,2024-06-17,2025-10-14,Hospital,Complex,54,63.8,27.8,2,25,30,19879.43,31129.44,FY2023-24,85.3,2026-07-12
CLT-000316,0.921,Youth Services,6.4,Medium,Northern,2025-07-01,23,Family,Housing,136,3,2,54.4,2023-07-30,2025-02-07,School,Simple,5,32.8,29.9,6,9,27,22273.37,28997.15,FY2024-25,77.6,2026-01-22
CLT-000317,0.479,ODSP,5.0,High,Central,2025-01-01,19,Employment,Housing,141,4,2,41.2,2022-08-15,2026-03-19,Family Doctor,Standard,43,23.2,42.5,5,14,14,7007.81,4718.53,FY2023-24,78.8,2026-05-09
CLT-000318,0.703,ODSP,8.3,Low,Ottawa,2024-07-01,3,Family,Employment,149,1,2,21.7,2021-11-05,2025-09-14,Court,Complex,78,49.4,33.3,19,4,48,18046.54,27613.16,FY2024-25,70.3,2026-03-18
CLT-000319,0.566,Youth Services,8.3,Medium,Niagara,2024-04-01,16,Home Care,Community,68,1,1,45.3,2022-11-22,2026-07-20,Online Portal,Complex,39,24.9,17.3,6,13,49,23577.28,21466.71,FY2024-25,83.5,2026-05-23
CLT-000320,0.418,Child Care Subsidy,6.9,Low,Southwestern,2024-04-01,16,Family,Family,67,3,3,63.3,2022-04-06,2026-07-05,Court,Standard,55,2.2,76.8,4,4,21,14420.68,40158.14,FY2025-26,87.2,2026-04-11
CLT-000321,0.978,Home Care,9.5,Low,Durham,2025-10-01,7,Housing,Child Care,94,4,3,59.3,2021-09-15,2025-04-06,Hospital,Simple,66,40.0,12.7,19,15,1,5073.96,4405.06,FY2024-25,78.5,2026-03-01
CLT-000322,0.572,ODSP,6.1,Medium,Durham,2024-04-01,6,Family,Community,110,1,0,16.0,2022-05-06,2026-05-05,Community Agency,Standard,6,9.8,27.5,13,26,45,16787.42,8780.28,FY2025-26,98.2,2026-05-31
CLT-000323,0.52,Community Living,4.9,Low,Northern,2026-01-01,3,Community,Disability,144,2,3,44.1,2023-03-25,2025-02-10,Community Agency,Standard,62,63.5,48.8,9,12,39,20674.03,42642.35,FY2024-25,77.5,2026-06-08
CLT-000324,0.833,Community Living,5.6,High,Northern,2024-07-01,13,Employment,Disability,50,2,2,61.7,2020-05-16,2025-08-11,Online Portal,Standard,77,40.0,94.6,2,24,6,12857.67,39196.02,FY2024-25,83.5,2026-03-06
CLT-000325,0.522,Ontario Works,6.1,Low,Hamilton,2025-10-01,11,Community,Disability,111,0,0,26.3,2023-12-23,2025-05-20,Other Ministry,Complex,75,33.7,49.2,2,17,42,6436.19,47550.9,FY2023-24,84.1,2026-03-13
CLT-000326,0.897,Child Care Subsidy,8.7,High,Ottawa,2024-10-01,10,Child Care,Community,53,0,0,62.6,2020-11-10,2026-03-28,Other Ministry,Simple,7,51.6,85.9,17,6,28,17570.19,41988.56,FY2025-26,89.2,2026-07-03
CLT-000327,0.789,ODSP,5.7,Medium,Hamilton,2024-04-01,20,Employment,Employment,106,1,1,36.8,2021-05-03,2025-07-24,Community Agency,Simple,33,2.5,11.2,6,21,42,2047.7,47978.52,FY2023-24,93.9,2026-08-01
CLT-000328,0.792,Child Care Subsidy,3.3,High,Ottawa,2025-07-01,11,Disability,Disability,148,3,3,15.3,2021-03-13,2025-04-19,Other Ministry,Standard,2,1.6,65.6,0,12,13,11740.01,4234.8,FY2024-25,89.5,2026-04-05
CLT-000329,0.426,Home Care,5.8,High,Hamilton,2024-07-01,23,Home Care,Youth,34,4,2,88.4,2023-11-27,2026-02-02,Hospital,Standard,2,45.9,85.1,10,27,42,12312.19,17420.16,FY2025-26,97.4,2026-04-25
CLT-000330,0.626,Home Care,6.4,High,GTA,2025-01-01,1,Child Care,Youth,70,5,3,69.4,2023-06-23,2025-03-23,Self-Referral,Simple,27,36.2,27.2,12,6,41,1428.71,46247.05,FY2025-26,99.7,2026-04-24
CLT-000331,0.836,Youth Services,3.9,Medium,GTA,2025-10-01,21,Youth,Employment,68,5,2,34.1,2021-02-25,2026-07-07,Self-Referral,Complex,11,57.8,69.2,7,19,24,13276.06,9993.73,FY2025-26,70.2,2026-05-06
CLT-000332,0.441,Home Care,3.4,Low,Eastern,2024-10-01,3,Home Care,Disability,70,4,0,41.2,2022-08-14,2025-11-15,Hospital,Complex,5,18.0,25.0,7,9,18,14622.33,48418.56,FY2023-24,78.2,2026-07-20
CLT-000333,0.684,Youth Services,5.7,Low,Hamilton,2026-01-01,14,Community,Home Care,133,0,3,41.3,2020-06-19,2025-11-04,Hospital,Complex,73,13.1,42.3,9,14,18,9691.1,30695.24,FY2023-24,80.0,2026-07-03
CLT-000334,0.677,Child Care Subsidy,9.2,Low,GTA,2025-07-01,16,Community,Community,111,5,2,37.6,2021-09-22,2025-03-14,Family Doctor,Simple,-5,28.0,58.1,6,24,27,23948.87,38792.25,FY2025-26,80.5,2026-07-01
CLT-000335,0.688,Youth Services,7.7,High,Niagara,2025-10-01,24,Disability,Disability,132,0,2,58.6,2023-10-17,2025-01-29,Hospital,Standard,57,33.1,67.9,8,7,38,14669.37,33467.63,FY2023-24,70.4,2026-07-17
CLT-000336,0.454,Family Support,5.7,High,Ottawa,2025-01-01,14,Home Care,Community,74,5,2,47.6,2022-12-27,2026-01-27,Court,Complex,32,54.3,88.6,2,3,40,14528.99,40079.16,FY2023-24,78.1,2026-02-23
CLT-000337,0.949,Family Support,7.8,Low,Northern,2026-01-01,1,Child Care,Child Care,116,4,3,60.6,2024-02-10,2026-03-18,Hospital,Simple,27,13.8,21.4,15,5,32,23737.84,23082.38,FY2023-24,75.6,2026-01-16
CLT-000338,0.842,Home Care,4.8,Medium,Hamilton,2024-07-01,21,Home Care,Child Care,85,0,3,15.6,2020-05-11,2025-12-17,Self-Referral,Complex,10,34.7,67.2,3,0,3,7018.98,47805.47,FY2025-26,87.5,2026-01-11
CLT-000339,0.457,Ontario Works,5.6,High,Southwestern,2026-01-01,16,Family,Community,96,2,2,90.0,2024-07-30,2025-09-03,Other Ministry,Complex,31,27.6,14.9,11,27,21,20253.62,1151.15,FY2025-26,82.1,2026-02-05
CLT-000340,0.415,ODSP,8.9,Medium,Eastern,2025-07-01,15,Housing,Community,58,0,2,6.4,2022-01-07,2025-02-16,Other Ministry,Complex,36,17.2,51.2,19,25,5,9034.18,47015.15,FY2024-25,99.6,2026-06-29
CLT-000341,0.934,Family Support,5.0,Low,Northern,2024-04-01,5,Housing,Child Care,87,5,3,19.3,2022-07-02,2025-04-29,Online Portal,Complex,49,17.7,28.0,2,3,27,24837.36,2431.87,FY2024-25,97.1,2026-07-16
CLT-000342,0.565,Employment Services,7.5,High,Ottawa,2024-10-01,18,Housing,Child Care,95,1,0,59.7,2022-02-11,2026-01-26,Family Doctor,Simple,8,19.0,34.7,3,2,21,18644.24,46923.32,FY2025-26,98.3,2026-05-27
CLT-000343,0.617,Youth Services,9.5,High,GTA,2025-04-01,2,Disability,Community,118,2,2,72.8,2024-06-19,2025-05-10,School,Simple,30,1.2,82.5,10,4,18,21011.81,25491.8,FY2024-25,74.4,2026-03-14
CLT-000344,0.486,Ontario Works,7.1,Medium,Durham,2024-07-01,9,Housing,Disability,136,2,3,10.0,2024-07-17,2025-12-08,Hospital,Complex,6,61.1,89.4,7,22,47,1787.87,43406.16,FY2023-24,95.7,2026-07-06
CLT-000345,0.631,Child Care Subsidy,9.7,High,Niagara,2025-07-01,14,Housing,Family,110,3,0,49.9,2021-08-02,2025-10-17,School,Complex,50,28.7,21.1,18,27,3,21320.34,35769.79,FY2024-25,89.6,2026-05-28
CLT-000346,0.481,Community Living,5.0,Low,Eastern,2025-01-01,24,Disability,Employment,102,5,0,62.7,2020-10-29,2026-01-21,Family Doctor,Complex,1,66.7,18.2,15,5,3,3375.0,26256.32,FY2024-25,87.8,2026-02-08
CLT-000347,0.77,Family Support,4.7,Low,Eastern,2025-10-01,16,Youth,Home Care,106,5,0,71.1,2023-08-24,2026-01-27,Court,Complex,63,32.3,11.0,3,2,7,12485.85,33770.82,FY2025-26,76.7,2026-05-31
CLT-000348,0.738,Community Living,4.9,High,Ottawa,2024-10-01,13,Housing,Community,86,4,1,13.5,2020-05-10,2026-07-05,Hospital,Standard,69,1.9,57.3,17,25,33,12469.8,26426.15,FY2025-26,86.2,2026-07-29
CLT-000349,0.866,ODSP,8.1,Low,Ottawa,2024-10-01,20,Home Care,Employment,124,2,0,8.3,2023-03-23,2025-07-31,Hospital,Simple,51,18.9,74.0,2,3,32,7815.16,48347.53,FY2023-24,82.7,2026-06-18
CLT-000350,0.4,Employment Services,3.3,High,Southwestern,2026-01-01,5,Housing,Family,143,2,1,63.5,2023-09-19,2025-02-15,School,Simple,4,10.6,82.8,6,30,8,15252.54,11585.96,FY2024-25,78.3,2026-07-06
CLT-000351,0.767,ODSP,6.7,Medium,Niagara,2024-10-01,13,Housing,Child Care,75,5,3,84.9,2020-10-20,2026-07-03,School,Simple,60,52.9,94.6,20,6,45,9617.49,33208.58,FY2025-26,88.1,2026-04-18
CLT-000352,0.885,Youth Services,9.7,Medium,Niagara,2024-04-01,20,Disability,Child Care,79,0,0,63.1,2022-04-13,2025-03-09,Other Ministry,Complex,-9,26.4,38.3,8,4,14,7204.35,5799.4,FY2023-24,81.4,2026-01-27
CLT-000353,0.862,ODSP,4.2,High,Southwestern,2026-01-01,4,Family,Youth,79,4,0,81.2,2020-12-15,2025-11-22,Family Doctor,Simple,24,58.1,67.6,17,17,38,22109.52,20729.91,FY2025-26,73.8,2026-01-03
CLT-000354,0.805,Child Care Subsidy,7.5,Low,Niagara,2025-04-01,2,Family,Disability,117,5,3,20.6,2021-12-25,2026-04-25,Court,Standard,34,37.7,71.1,7,9,40,21519.08,47425.28,FY2024-25,93.1,2026-01-24
CLT-000355,0.774,ODSP,8.0,Low,Northern,2024-04-01,3,Youth,Housing,12,3,1,45.8,2022-11-20,2026-06-30,Community Agency,Standard,-19,44.6,87.4,0,22,27,17713.5,37733.73,FY2023-24,99.8,2026-06-19
CLT-000356,0.961,Ontario Works,7.1,Low,Durham,2025-01-01,6,Child Care,Family,44,4,2,86.0,2022-05-15,2026-05-23,Family Doctor,Simple,27,69.8,38.7,7,26,34,21344.04,43032.5,FY2024-25,79.0,2026-03-17
CLT-000357,0.556,Ontario Works,8.0,High,Niagara,2025-01-01,10,Employment,Housing,134,0,2,5.5,2022-07-31,2025-12-03,Court,Standard,-7,0.9,85.7,5,12,22,717.16,22109.39,FY2023-24,72.5,2026-05-12
CLT-000358,0.93,Family Support,3.8,Medium,GTA,2024-10-01,22,Youth,Disability,130,3,2,30.4,2022-05-27,2025-07-06,Court,Simple,36,47.4,47.3,4,11,47,11132.02,18602.6,FY2025-26,76.0,2026-02-18
CLT-000359,0.568,Child Care Subsidy,5.7,High,Central,2024-04-01,6,Disability,Housing,78,0,3,46.6,2022-10-11,2025-05-11,Other Ministry,Standard,44,52.4,73.1,12,4,7,23963.13,39842.93,FY2023-24,74.7,2026-05-09
CLT-000360,0.408,Home Care,3.4,Medium,Niagara,2024-04-01,14,Housing,Youth,82,3,0,69.7,2021-05-22,2025-06-06,Hospital,Simple,15,55.3,83.5,7,21,27,5361.11,35616.58,FY2023-24,91.0,2026-05-09
CLT-000361,0.761,Home Care,9.7,High,Northern,2025-01-01,4,Home Care,Community,19,2,1,84.0,2022-05-23,2025-01-19,School,Simple,-14,27.7,54.6,20,7,14,8736.36,24480.57,FY2025-26,82.8,2026-01-14
CLT-000362,0.58,Employment Services,5.5,Medium,Niagara,2025-01-01,11,Employment,Home Care,20,0,0,61.1,2021-10-20,2025-08-06,Court,Standard,15,65.5,18.6,5,8,31,9407.74,15913.48,FY2023-24,90.1,2026-06-24
CLT-000363,0.726,Child Care Subsidy,5.3,High,Central,2025-07-01,8,Youth,Disability,108,0,0,16.1,2024-02-29,2025-05-04,Self-Referral,Complex,63,58.9,26.4,14,29,6,2334.55,27782.37,FY2024-25,79.0,2026-05-02
CLT-000364,0.984,Home Care,6.6,Low,GTA,2024-10-01,7,Community,Youth,98,2,3,58.5,2020-08-28,2026-03-23,Community Agency,Standard,33,37.9,91.0,0,5,38,7216.64,48406.86,FY2024-25,71.4,2026-05-25
CLT-000365,0.436,Home Care,8.0,Medium,Hamilton,2024-07-01,6,Housing,Community,109,3,2,22.6,2020-01-08,2025-06-13,School,Complex,69,1.1,88.9,16,14,32,17839.97,26728.59,FY2024-25,95.6,2026-03-17
CLT-000366,0.818,ODSP,4.2,Low,Durham,2025-01-01,10,Employment,Home Care,81,1,2,79.2,2020-04-15,2025-09-12,School,Complex,-6,0.6,39.5,19,11,20,2539.53,35567.62,FY2025-26,77.9,2026-02-04
CLT-000367,0.641,Employment Services,5.2,Low,GTA,2025-07-01,8,Youth,Home Care,75,0,0,66.4,2023-11-10,2026-01-27,Court,Complex,61,43.7,27.5,14,7,20,7085.44,29501.53,FY2024-25,74.7,2026-03-01
